order_id,customer_id,order_date,order_status,subtotal,shipping_cost,final_amount
ORD_00000001,CUST_000542,2023-05-28,완료,814000,0,814000
ORD_00000002,CUST_000488,2024-06-14,완료,452000,0,452000
ORD_00000003,CUST_000180,2024-01-17,배송중,271800,0,271800
ORD_00000004,CUST_000307,2024-02-26,완료,18700,3000,21700
ORD_00000005,CUST_000234,2023-06-16,취소,227000,0,227000
ORD_00000006,CUST_000777,2023-08-12,완료,633800,0,633800
ORD_00000007,CUST_000553,2023-08-15,완료,230000,0,230000
ORD_00000008,CUST_000530,2024-07-26,완료,283500,0,283500
ORD_00000009,CUST_000432,2024-12-07,완료,936600,0,936600
ORD_00000010,CUST_000858,2024-06-28,완료,885000,0,885000
ORD_00000011,CUST_000980,2023-04-27,완료,35200,3000,38200
ORD_00000012,CUST_000806,2024-04-16,완료,161000,0,161000
ORD_00000013,CUST_000267,2023-04-30,완료,220400,0,220400
ORD_00000014,CUST_000043,2023-01-18,완료,1948000,0,1948000
ORD_00000015,CUST_000787,2023-12-23,완료,1838000,0,1838000
ORD_00000016,CUST_000930,2024-12-08,완료,406000,0,406000
ORD_00000017,CUST_000549,2023-05-23,완료,452000,0,452000
ORD_00000018,CUST_000622,2024-09-03,배송중,3261000,0,3261000
ORD_00000019,CUST_000390,2023-12-17,완료,998000,0,998000
ORD_00000020,CUST_000678,2024-12-27,완료,476000,0,476000
ORD_00000021,CUST_000939,2023-01-30,완료,523200,0,523200
ORD_00000022,CUST_000172,2023-05-02,완료,1395000,0,1395000
ORD_00000023,CUST_000994,2023-05-12,완료,834000,0,834000
ORD_00000024,CUST_000210,2023-05-26,완료,351000,0,351000
ORD_00000025,CUST_000897,2023-08-21,취소,1072000,0,1072000
ORD_00000026,CUST_000852,2023-05-09,완료,180600,0,180600
ORD_00000027,CUST_000315,2023-05-14,완료,1395000,0,1395000
ORD_00000028,CUST_000056,2024-03-11,완료,543000,0,543000
ORD_00000029,CUST_000073,2023-04-25,취소,1087000,0,1087000
ORD_00000030,CUST_000934,2023-01-20,완료,2548000,0,2548000
ORD_00000031,CUST_000714,2023-07-21,완료,1386000,0,1386000
ORD_00000032,CUST_000555,2024-11-06,완료,283500,0,283500
ORD_00000033,CUST_000479,2024-08-30,완료,245500,0,245500
ORD_00000034,CUST_000655,2023-05-02,완료,953000,0,953000
ORD_00000035,CUST_000116,2023-03-09,완료,379100,0,379100
ORD_00000036,CUST_000198,2024-11-14,완료,230000,0,230000
ORD_00000037,CUST_000892,2023-04-09,완료,17600,3000,20600
ORD_00000038,CUST_000854,2024-09-08,완료,975000,0,975000
ORD_00000039,CUST_000049,2023-07-24,완료,537500,0,537500
ORD_00000040,CUST_000814,2023-12-26,완료,195000,0,195000
ORD_00000041,CUST_000735,2023-04-03,배송중,2159000,0,2159000
ORD_00000042,CUST_000852,2023-10-12,배송중,8871000,0,8871000
ORD_00000043,CUST_000898,2023-12-23,완료,7483000,0,7483000
ORD_00000044,CUST_000321,2024-09-19,완료,6443500,0,6443500
ORD_00000045,CUST_000750,2024-08-06,완료,279250,0,279250
ORD_00000046,CUST_000149,2024-08-15,완료,674300,0,674300
ORD_00000047,CUST_000557,2023-08-11,완료,2139000,0,2139000
ORD_00000048,CUST_000423,2023-07-16,완료,412000,0,412000
ORD_00000049,CUST_000114,2023-06-25,완료,819000,0,819000
ORD_00000050,CUST_000516,2023-01-05,완료,884650,0,884650
ORD_00000051,CUST_000239,2023-08-08,완료,6196500,0,6196500
ORD_00000052,CUST_000431,2024-12-25,완료,716000,0,716000
ORD_00000053,CUST_000584,2024-12-15,완료,2126400,0,2126400
ORD_00000054,CUST_000783,2023-07-09,완료,340500,0,340500
ORD_00000055,CUST_000993,2024-11-20,완료,144200,0,144200
ORD_00000056,CUST_000014,2023-07-05,완료,606000,0,606000
ORD_00000057,CUST_000024,2024-01-24,완료,240000,0,240000
ORD_00000058,CUST_000667,2023-08-08,완료,402000,0,402000
ORD_00000059,CUST_000966,2023-08-22,배송중,412000,0,412000
ORD_00000060,CUST_000716,2023-04-26,완료,1870000,0,1870000
ORD_00000061,CUST_000530,2024-04-22,완료,9129000,0,9129000
ORD_00000062,CUST_000111,2023-05-20,완료,22000,3000,25000
ORD_00000063,CUST_000643,2024-01-05,완료,1041000,0,1041000
ORD_00000064,CUST_000655,2023-10-23,완료,4992000,0,4992000
ORD_00000065,CUST_000730,2023-02-11,배송중,1622000,0,1622000
ORD_00000066,CUST_000662,2024-05-20,완료,1828000,0,1828000
ORD_00000067,CUST_000579,2024-04-12,완료,2139000,0,2139000
ORD_00000068,CUST_000230,2023-11-16,완료,4566000,0,4566000
ORD_00000069,CUST_000860,2024-03-30,배송중,2122000,0,2122000
ORD_00000070,CUST_000447,2024-07-21,완료,3328000,0,3328000
ORD_00000071,CUST_000736,2023-10-25,완료,256700,0,256700
ORD_00000072,CUST_000804,2023-03-13,완료,596000,0,596000
ORD_00000073,CUST_000139,2024-11-26,완료,500000,0,500000
ORD_00000074,CUST_000144,2023-07-03,완료,347000,0,347000
ORD_00000075,CUST_000769,2024-11-21,완료,1107000,0,1107000
ORD_00000076,CUST_000278,2023-04-18,완료,204000,0,204000
ORD_00000077,CUST_000361,2024-03-24,완료,4002000,0,4002000
ORD_00000078,CUST_000969,2023-03-29,완료,21250,3000,24250
ORD_00000079,CUST_000064,2023-05-27,완료,268000,0,268000
ORD_00000080,CUST_000062,2024-02-15,완료,134400,0,134400
ORD_00000081,CUST_000666,2024-08-27,완료,560000,0,560000
ORD_00000082,CUST_000072,2023-06-22,완료,94500,0,94500
ORD_00000083,CUST_000035,2024-01-08,완료,195000,0,195000
ORD_00000084,CUST_000560,2023-12-13,배송중,176700,0,176700
ORD_00000085,CUST_000392,2024-09-01,배송중,5914000,0,5914000
ORD_00000086,CUST_000946,2023-05-06,완료,220400,0,220400
ORD_00000087,CUST_000221,2024-03-10,완료,395250,0,395250
ORD_00000088,CUST_000078,2024-05-26,완료,476000,0,476000
ORD_00000089,CUST_000071,2024-12-31,배송중,870300,0,870300
ORD_00000090,CUST_000978,2023-10-07,완료,585000,0,585000
ORD_00000091,CUST_000632,2024-02-14,완료,389300,0,389300
ORD_00000092,CUST_000421,2024-05-02,완료,1569000,0,1569000
ORD_00000093,CUST_000085,2024-02-19,완료,26000,3000,29000
ORD_00000094,CUST_000050,2024-06-07,취소,2790000,0,2790000
ORD_00000095,CUST_000978,2023-05-31,배송중,3154000,0,3154000
ORD_00000096,CUST_000265,2023-04-21,완료,220400,0,220400
ORD_00000097,CUST_000606,2023-09-14,완료,1473400,0,1473400
ORD_00000098,CUST_000105,2023-08-25,완료,684550,0,684550
ORD_00000099,CUST_000126,2023-01-31,완료,982000,0,982000
ORD_00000100,CUST_000018,2023-02-24,배송중,13600,3000,16600
ORD_00000101,CUST_000644,2024-05-25,완료,1199350,0,1199350
ORD_00000102,CUST_000865,2023-07-03,완료,4950000,0,4950000
ORD_00000103,CUST_000966,2024-09-11,완료,402000,0,402000
ORD_00000104,CUST_000891,2023-12-01,완료,120000,0,120000
ORD_00000105,CUST_000116,2023-11-07,완료,1608000,0,1608000
ORD_00000106,CUST_000672,2024-09-30,배송중,624000,0,624000
ORD_00000107,CUST_000054,2024-06-16,완료,884000,0,884000
ORD_00000108,CUST_000003,2024-04-22,완료,843000,0,843000
ORD_00000109,CUST_000553,2024-11-08,완료,4814397,0,4814397
ORD_00000110,CUST_000221,2023-09-25,취소,306000,0,306000
ORD_00000111,CUST_000558,2023-12-18,완료,207000,0,207000
ORD_00000112,CUST_000318,2024-07-13,배송중,708800,0,708800
ORD_00000113,CUST_000087,2023-02-02,완료,277200,0,277200
ORD_00000114,CUST_000402,2023-05-02,완료,490000,0,490000
ORD_00000115,CUST_000516,2024-04-05,완료,552000,0,552000
ORD_00000116,CUST_000613,2024-03-29,배송중,2525200,0,2525200
ORD_00000117,CUST_000474,2023-07-01,완료,852150,0,852150
ORD_00000118,CUST_000437,2023-11-07,완료,319600,0,319600
ORD_00000119,CUST_000796,2024-05-18,완료,3177000,0,3177000
ORD_00000120,CUST_000691,2023-11-16,완료,655800,0,655800
ORD_00000121,CUST_000110,2024-05-14,완료,708800,0,708800
ORD_00000122,CUST_000126,2024-08-05,완료,306000,0,306000
ORD_00000123,CUST_000406,2024-05-17,완료,415800,0,415800
ORD_00000124,CUST_000055,2024-07-21,완료,3672000,0,3672000
ORD_00000125,CUST_000356,2024-08-08,완료,362000,0,362000
ORD_00000126,CUST_000752,2024-05-02,완료,3942000,0,3942000
ORD_00000127,CUST_000330,2023-02-27,완료,7175000,0,7175000
ORD_00000128,CUST_000307,2024-05-21,완료,522850,0,522850
ORD_00000129,CUST_000321,2024-09-23,완료,1326000,0,1326000
ORD_00000130,CUST_000212,2023-12-28,완료,802800,0,802800
ORD_00000131,CUST_000280,2023-03-04,배송중,327000,0,327000
ORD_00000132,CUST_000398,2024-08-27,배송중,69000,0,69000
ORD_00000133,CUST_000029,2023-05-12,완료,330000,0,330000
ORD_00000134,CUST_000154,2023-12-24,완료,2126400,0,2126400
ORD_00000135,CUST_000255,2024-08-20,완료,974000,0,974000
ORD_00000136,CUST_000403,2024-10-02,완료,77900,0,77900
ORD_00000137,CUST_000588,2024-01-25,완료,327000,0,327000
ORD_00000138,CUST_000223,2024-03-14,완료,3114000,0,3114000
ORD_00000139,CUST_000628,2023-12-26,완료,1047600,0,1047600
ORD_00000140,CUST_000352,2023-09-08,배송중,974000,0,974000
ORD_00000141,CUST_000501,2023-08-29,완료,4731000,0,4731000
ORD_00000142,CUST_000139,2023-11-16,완료,1844000,0,1844000
ORD_00000143,CUST_000746,2023-03-09,완료,556000,0,556000
ORD_00000144,CUST_000397,2023-04-28,완료,208900,0,208900
ORD_00000145,CUST_000645,2023-01-21,완료,819000,0,819000
ORD_00000146,CUST_000909,2023-11-30,완료,81000,0,81000
ORD_00000147,CUST_000402,2024-04-16,완료,523200,0,523200
ORD_00000148,CUST_000658,2024-03-08,완료,2126400,0,2126400
ORD_00000149,CUST_000767,2024-06-11,완료,138000,0,138000
ORD_00000150,CUST_000454,2023-10-01,완료,1366900,0,1366900
ORD_00000151,CUST_000526,2024-08-25,취소,245000,0,245000
ORD_00000152,CUST_000319,2023-11-21,완료,500000,0,500000
ORD_00000153,CUST_000155,2024-08-07,완료,2379400,0,2379400
ORD_00000154,CUST_000015,2023-04-11,완료,460000,0,460000
ORD_00000155,CUST_000036,2023-04-13,완료,4509000,0,4509000
ORD_00000156,CUST_000518,2024-11-22,완료,120000,0,120000
ORD_00000157,CUST_000072,2023-12-11,완료,546000,0,546000
ORD_00000158,CUST_000462,2024-05-29,배송중,3396000,0,3396000
ORD_00000159,CUST_000701,2023-12-14,완료,4642000,0,4642000
ORD_00000160,CUST_000070,2023-11-03,완료,2189400,0,2189400
ORD_00000161,CUST_000523,2023-07-26,완료,226800,0,226800
ORD_00000162,CUST_000138,2024-10-12,배송중,974000,0,974000
ORD_00000163,CUST_000509,2024-07-02,완료,3537000,0,3537000
ORD_00000164,CUST_000270,2023-09-29,완료,363000,0,363000
ORD_00000165,CUST_000945,2024-08-10,배송중,226800,0,226800
ORD_00000166,CUST_000699,2023-08-20,완료,134400,0,134400
ORD_00000167,CUST_000039,2023-04-05,완료,8751000,0,8751000
ORD_00000168,CUST_000192,2023-04-08,완료,7425000,0,7425000
ORD_00000169,CUST_000355,2023-12-11,완료,624400,0,624400
ORD_00000170,CUST_000055,2023-03-10,취소,360000,0,360000
ORD_00000171,CUST_000189,2024-06-27,완료,4244000,0,4244000
ORD_00000172,CUST_000818,2024-03-13,완료,154850,0,154850
ORD_00000173,CUST_000702,2023-12-22,완료,92000,0,92000
ORD_00000174,CUST_000814,2024-10-29,완료,372000,0,372000
ORD_00000175,CUST_000323,2024-05-31,완료,3328000,0,3328000
ORD_00000176,CUST_000649,2024-03-19,완료,618000,0,618000
ORD_00000177,CUST_000454,2024-07-06,완료,500000,0,500000
ORD_00000178,CUST_000032,2023-07-24,완료,35200,3000,38200
ORD_00000179,CUST_000487,2024-02-16,완료,2788000,0,2788000
ORD_00000180,CUST_000735,2024-06-11,취소,3840000,0,3840000
ORD_00000181,CUST_000984,2024-07-14,완료,998000,0,998000
ORD_00000182,CUST_000749,2023-01-20,완료,360000,0,360000
ORD_00000183,CUST_000087,2024-12-21,완료,690000,0,690000
ORD_00000184,CUST_000605,2023-07-11,완료,681000,0,681000
ORD_00000185,CUST_000773,2024-05-26,완료,181000,0,181000
ORD_00000186,CUST_000503,2024-11-07,완료,5276000,0,5276000
ORD_00000187,CUST_000691,2024-10-15,완료,663597,0,663597
ORD_00000188,CUST_000057,2024-03-20,완료,5112900,0,5112900
ORD_00000189,CUST_000719,2024-10-03,완료,38950,3000,41950
ORD_00000190,CUST_000423,2024-06-18,취소,203000,0,203000
ORD_00000191,CUST_000711,2024-01-09,배송중,367450,0,367450
ORD_00000192,CUST_000591,2023-06-04,완료,543000,0,543000
